"すずき,鈴木","かまだ,鎌田","たかとり,高取","くましろ,神代","ひろいけ,広池","なかつぼ,中坪","やまかど,山門","のぶとう,延藤","くつな,沓名","ふじさか,藤坂","うたまる,歌丸","こはなわ,小華和","でざわ,出沢","まつかた,松形","あつぼ,厚母","いむら,猪村","おかだや,岡田屋","かねま,兼間","くさかみ,草上","これむら,是村","しなと,階戸","そたに,祖谷","ちばた,千畑","なおばやし,直林","はさだ,羽佐田","ふじわ,藤輪","みさご,三砂","やずみ,矢住"
"いまむら,今村","たけざわ,竹沢","なかべ,中部","おぐし,小串","かどい,門井","ろ,呂","いまたけ,今竹","みつま,三潴","さかわ,坂和","みやこ,宮子","おおみわ,大三輪","さんが,三箇","なかいわ,中岩","むかいだ,向井田","あられい,荒冷","うか,羽化","おじろ,尾白","かめぐち,亀口","くまざき,隈崎","さいねん,西念","しもなが,下長","たかのお,高野尾","つとう,伝","ながとう,長藤","はにた,半仁田","ぶせき,武関","みつはら,水原","やまのい,山ノ井"
"たに,谷","たけばやし,竹林","ながみね,長峰","おこのぎ,小此木","かどかわ,角川","ろうやま,蝋山","いまだて,今立","みつもり,光森","さがわ,狭川","みやこや,都家","おおむかい,大向","さんがわ,寒川","なかうち,仲内","むかいだに,向谷","あらわか,荒若","うかい,宇海","おすぎ,尾杉","かめこ,亀子","くまざわ,久万沢","さいの,才野","しもにし,下西","たかのくら,高野倉","つど,津戸","ながとち,永地","はにべ,土部","ぶつだ,仏田","みつべ,光部","やまのい,山埜井"
"おくむら,奥村","ちだ,千田","ながみね,長嶺","おさかべ,刑部","かなくぼ,金久保","わかば,若葉","いまとみ,今富","みつや,三ツ谷","さきょう,左京","みやごし,宮腰","おおもも,大桃","さんぐう,山宮","なかかど,中門","むかいひら,向平","あらん,阿乱","うかい,鵜養","おず,乙津","かめこう,亀甲","くまざわ,熊谷","さいの,斎野","しものその,下之薗","たかのさと,隆の里","つどい,集","ながとみ,長冨","はにわら,埴原","ぶなざわ,樗沢","みつべ,三部","やまのうえ,山上"
"つだ,津田","つぼた,坪田","なごし,名越","おさき,尾崎","かねき,金木","わかみず,若水","いまど,今戸","みとも,三友","さきかわ,崎川","みやじま,美谷島","おおもり,大守","さんご,三五","なかかわじ,中川路","むぎ,麦","あり,阿利","うかがみ,宇賀神","おずき,小月","かめさか,亀坂","くませがわ,熊瀬川","さいの,斉野","しもは,下羽","たかのし,高熨斗","つどう,津藤","ながどう,長堂","はぬき,葉貫","ぶにゅう,豊丹生","みつぼし,三ツ星","やまのうえ,山野上"
"とみた,富田","てしま,手島","なんり,南里","おざき,小崎","かねしげ,金重","わかもり,若森","いまはら,今原","みどり,緑","さきた,先田","みやだい,宮台","おおやしき,大屋敷","さんた,三田","なかがね,中兼","むぎしま,麦島","あり,阿理","うかく,宇角","おずつみ,小堤","かめさき,亀岬","くまぞえ,熊添","さいのき,才野木","しもはた,下畑","たかのはな,貴ノ花","つどおり,都通","ながどおり,長通","はねえ,羽絵","ぶるーねっと,ブルーネット","みつぼし,三星","やまのうち,山ノ内"
"みなみ,南","なかみち,中道","にいの,新野","おたか,尾高","かの,加野","わが,和賀","いまもと,今本","みない,薬袋","さきたに,崎谷","みやのはら,宮之原","おおやつ,大谷津","さんとう,山藤","なかき,中木","むぎた,麦田","あり,阿里","うかじ,宇賀治","おずみ,小住","かめずか,亀塚","くまた,くまた","さいのひら,斉之平","しもはら,下原","たかのはま,貴ノ浜","つな,津名","ながな,長納","はねえ,羽江","ぶんけ,分家","みつま,三間","やまのうち,山野内"
"さえき,佐伯","ながおか,永岡","のせ,野瀬","おだがき,小田垣","かみたに,神谷","わきむら,脇村","いもと,井元","みながわ,源川","さきもと,崎本","みやま,宮間","おおやぶ,大藪","さんどう,山藤","なかくぼ,中久保","むぎたに,麦谷","あり,蟻","うかわ,右川","おずみ,尾住","かめた,亀田","くまたに,熊谷","さいば,さいば","しもばち,下鉢","たかのふじ,孝乃富士","つない,綱井","ながねお,長根尾","はねさか,塙坂","ぶんこう,分校","みつま,三津間","やまのぐち,山之口"
"いしばし,石橋","にしがき,西垣","はだ,羽田","おつじ,尾辻","かみで,上出","わごう,和合","いよだ,伊与田","みなとがわ,湊川","さぎさわ,鷺沢","みやま,見山","おおやまだ,大山田","さんのう,参納","なかくぼ,中窪","むぎやま,武儀山","あり,呵里","うがえり,魚返","おせ,於勢","かめち,亀地","くまで,熊手","さいばら,祭原","しもひがし,下東","たかのみね,貴ノ嶺","つなき,綱木","ながの,長埜","はねじ,羽地","ぶんぶんしゃ,文々舎","みつま,満間","やまのした,山野下"
"おだ,小田","はしずめ,橋詰","はなわ,花輪","おなか,尾中","かみなりもん,雷門","わしたに,鷲谷","いりうちじま,入内島","みなべ,三鍋","さくい,作井","みゆき,幸","おおり,大利","さんのへ,三戸","なかぐち,仲口","むく,椋","ありいえ,有家","うがみ,鵜上","おせ,尾瀬","かめなが,亀長","くまとり,熊取","さいほ,西保","しもひらお,下平尾","たかのみや,孝宮","つなだ,綱田","ながの,長能","はねじ,羽路","へい,平","みつます,光増","やまのだ,山野田"
"むとう,武藤","はなむら,花村","ひさとみ,久富","おにき,鬼木","かみむら,神村","わせだ,早稲田","いりふね,入船","みなべ,三辺","さくま,佐熊","みわたり,三渡","おおわん,大湾","さんぼう,三宝","なかこ,中子","むくぎ,椋木","ありいそ,有磯","うき,宇樹","おせがわ,尾世川","かめの,亀野","くまとりや,熊取谷","さいまつ,細末","しもふく,下福","たかのり,高乗","つなどう,綱頭","ながはか,永墓","はねじま,羽島","へいあん,平安","みつまた,三ツ股","やまのべ,山之辺"
"たかやま,高山","はやせ,早瀬","ひめの,姫野","おにざわ,鬼沢","かみもと,神本","わたい,渡井","いりふねてい,入船亭","みなみ,三波","さくもと,作本","みわだ,三輪田","おかえ,岡江","さんもんじ,三文字","なかこうじ,中小路","むくた,椋田","ありうち,有内","うき,宇城","おそぐち,獺口","かめはた,亀畑","くまなか,熊中","さいみ,細美","しもふさ,下房","たかは,貴葉","つなみ,都並","ながはな,長花","はねずか,羽塚","へいあんざん,平安山","みつまた,三股","やまはし,山橋"
"はぎわら,萩原","みやち,宮地","ふかつ,深津","おにまる,鬼丸","かむら,嘉村","わち,和知","いりや,入谷","みなみおおじ,南大路","さくらまち,桜町","むかいで,向出","おかお,岡尾","ざこ,坐古","なかごえ,中越","むくだ,椋田","ありうみ,有海","うき,宇木","おそざわ,遅沢","かめふち,亀淵","くまの,くまの","さいみつ,最光","しもふり,霜降","たかはし,高梁","つなむら,綱村","ながはま,永浜","はねた,羽太","へいわ,平和","みつまつ,光松","やまはた,山畠"
"おぐら,小倉","もりた,守田","ふかまち,深町","おのぎ,小野木","かもしだ,鴨志田","わにぶち,鰐淵","いわいずみ,岩泉","みなみたに,南谷","さこう,佐光","むかいはら,向原","おかぐち,岡口","ざこうじ,座光寺","なかさ,仲佐","むくだい,椋代","ありうら,有浦","うきがい,浮海","おそど,小曽戸","かめやばら,亀屋原","くまのごう,熊ノ郷","さいもん,彩紋","しもふるだち,下古立","たかはし,鷹橋","つなもと,綱本","ながはまや,長浜谷","はねた,羽田","へき,碧","みつまつ,三ツ松","やまはな,山端"
"わたなべ,渡部","もりの,森野","ふじお,藤尾","おもと,尾本","かやば,萱場","わらしな,藁科","いわごう,岩合","みなみの,南野","さこだ,佐古田","むかいぼう,向坊","おかさこ,岡迫","ざやす,座安","なかさい,中斉","むくのき,椋","ありか,有可","うきがい,浮貝","おそのい,遅野井","かめわか,亀若","くまのたに,熊野谿","さいもん,才門","しもべっぷ,下別府","たかはた,高幡","つねい,常井","ながば,永場","はねはら,羽原","へきどう,碧洞","みつまつ,三松","やまはな,山鼻"
"くまがい,熊谷","やぐち,矢口","ふじよし,藤吉","おやなぎ,小柳","からつ,唐津","あいしま,相島","いわだて,岩館","みなみはら,南原","さこみず,迫水","むかさ,武笠","おかじ,岡地","ざんま,座馬","なかさき,中崎","むくのき,椋木","ありかど,有門","うきた,宇喜田","おそのえ,小薗江","かめわり,亀割","くまみ,熊見","さいもん,柴門","しもみ,下見","たかはた,高幢","つねかわ,雅川","ながばやし,永林","はねばやし,羽林","へさか,部坂","みつまる,満丸","やまばと,山鳩"
"にしやま,西山","よねむら,米村","まきむら,牧村","おりかさ,折笠","かりた,苅田","あいち,愛知","いわつか,岩塚","みなみやま,南山","ささざき,笹崎","むかひ,向日","おかじ,岡路","しゃ,車","なかさと,中里","むこう,向","ありかわ,有河","うきつ,浮津","おぞえがわ,小副川","かも,加毛","くまり,久万里","さいもん,西門","しもみせ,下店","たかはたけ,高畑","つねずみ,常住","ながばやし,長林","はの,埴野","へだ,辺田","みつみ,光見","やまひろ,山広"
"みずたに,水谷","わき,脇","まさむね,正宗","かいえだ,海江田","かりや,刈谷","あいば,饗場","いわはな,岩鼻","みなもと,皆本","ささべ,佐々部","むぎの,麦野","おかち,岡地","しゃみせん,三味線","なかしげ,中重","むしゃ,武捨","ありが,有我","うきべ,浮辺","おぞの,小園","かも,鹿毛","くみかわ,汲川","さいらいじ,西来路","しもみつ,下光","たかはな,高花","つねずみ,常澄","ながふじ,長藤","ははきぎ,帚木","へちまの,遍千万","みつむね,光宗","やまび,山火"
"かわむら,河村","いそだ,磯田","ましこ,益子","かがみ,鏡味","かりや,苅谷","あかおか,赤岡","いわもと,巌本","みね,三根","ささま,笹間","むさしがわ,武蔵川","おかどう,岡堂","しゅういん,執印","なかしずか,中静","むしゃの,武者野","ありき,有城","うきやま,浮山","おぞの,尾薗","かもうち,鴨打","くみき,久見木","さいり,彩里","しもみなみ,下南","たかはなだ,貴花田","つねた,常田","ながふね,長船","はば,波場","へび,蛇","みつむら,三村","やまふく,山福"
"しのはら,篠原","いもと,井本","みずまち,水町","かくだ,角田","かわなみ,川浪","あかさか,赤阪","いわわき,岩脇","みねい,嶺井","さざなみ,佐々波","むさしの,武蔵野","おかぬま,岡沼","しゅく,珠玖","なかしば,中柴","むしあき,虫明","ありくぶら,東久部良","うぎ,卯木","おぞのい,小薗井","かもざわ,鴨沢","くみた,久見田","さいれん,西連","しもむら,下邑","たかはね,鷹羽","つねたに,経谷","ながぶち,長淵","はば,八幡","へびぐち,蛇口","みつめ,三ツ目","やまべ,山家"
"ふくい,福井","うすい,薄井","みやざと,宮里","かけひ,筧","かわらだ,河原田","あかさき,赤崎","いんどう,印東","みねまつ,峰松","さずか,佐塚","むしあけ,虫明","おかの,小神野","しゅくざわ,宿沢","なかしま,仲島","むしの,蒸野","ありくら,有倉","うくた,宇久田","おたい,小胎","かもした,加茂下","くみむら,組村","さいわい,さいわい","しもむら,下邨","たかば,鷹羽","つねだ,経田","ながほ,永保","はばさき,幅崎","へや,部谷","みつもち,光用","やままる,山丸"
"みき,三木","えだ,江田","みやじま,宮嶋","かしはら,樫原","きゅう,邱","あかざき,赤崎","いんどう,印藤","みのぐち,美濃口","さそう,笹生","むちゃく,無着","おかのうえ,岡上","しゅぜんじ,朱膳寺","なかせ,仲瀬","むち,鞭","ありさ,有佐","うくもり,鵜久森","おたき,小滝","かもした,鴨志田","くみや,組谷","さうだ,左右田","しもむら,志茂村","たかひ,高樋","つねだ,恒田","ながほ,長保","はばた,幅田","へらい,戸来","みつもと,光元","やまみち,山通"
"むらやま,村山","おおさか,大坂","むかいやま,向山","かじ,鍛治","きょう,京","あかす,赤須","うえい,上井","みのだ,箕田","さたか,佐高","むつおか,六岡","おかのえ,岡上","しゅとう,周藤","なかそ,中曽","むつうら,六浦","ありさか,ありさか","うぐさ,宇草","おたけ,小竹","かもた,加守田","くみやま,組山","さうら,佐浦","しももと,下許","たかひさ,孝久","つねとし,常俊","ながまち,永町","はばでら,幅寺","へん,辺","みつもと,三元","やまみち,山道"
"すぎうら,杉浦","かくた,角田","むらさき,村崎","かつめ,勝目","きょうや,京谷","あかせ,赤瀬","うえがき,植垣","みのはら,簑原","さだかた,定形","むなかた,宗形","おかのぼり,岡登","しゅむた,朱牟田","なかそ,中祖","むつき,睦月","ありさき,有崎","うぐち,宇口","おたざわ,小田沢","かもたに,鴨谷","くめかわ,久米川","さえ,佐江","しもや,下屋","たかぶ,高部","つねとみ,常富","ながみ,永美","はふつ,羽布津","へんざん,平安山","みつもと,蜜本","やまむら,山邨"
"ただ,多田","ぐんじ,郡司","むらさわ,村沢","かつらぎ,葛城","きくの,菊野","あかの,赤野","うえたに,上谷","みのりかわ,御法川","さだかね,貞包","むねうち,宗内","おかはた,岡畑","しゅり,朱里","なかた,中多","むね,宗","ありさだ,有定","うけしま,受島","おたざわ,織田沢","かもち,加持","くめがわ,粂川","さえじま,冴島","しもや,下谷","たかべ,高倍","つねとも,常友","ながみ,長神","はぶか,羽深","へんじょうじ,遍照寺","みつや,光谷","やまもり,山守"
"とだ,戸田","こしば,小柴","もりお,森尾","かどや,門屋","きくはら,菊原","あかひら,赤平","うえなか,上中","みはら,見原","さだかね,定金","むねかた,宗像","おかひら,岡平","しゅんじゅうあん,春秋庵","なかだい,中代","むねおか,宗岡","ありさわ,在沢","うけじ,請地","おだ,おだ","かもの,加茂野","くめざわ,粂沢","さえだ,佐枝","しもやかわ,下八川","たかぼう,高坊","つねの,常野","ながみ,流水","はぶた,土生田","べっし,別枝","みつや,三ッ谷","やまもり,山盛"
"くりはら,栗原","しょうの,庄野","もろずみ,両角","かねひら,金平","きくやま,菊山","あがた,阿形","うえの,上埜","みぶち,三淵","さだまつ,定松","むねとう,宗藤","おかみつ,岡光","しゅんとう,春藤","なかだい,仲代","むねかた,宗方","ありしろ,有代","うけた,受田","おだ,小多","かもの,鴨埜","くめた,粂田","さえば,冴葉","しもやがわ,下八川","たかぼし,高星","つねのはな,常ノ花","ながみや,永宮","はま,波間","べっちゃく,別役","みつや,三屋","やまや,山家"
"いながき,稲垣","しかた,四方","やがさき,矢ケ崎","かばしま,樺島","きさらぎ,如月","あがりえ,東江","うえひら,上平","みむら,味村","さだみつ,貞光","むねひろ,宗広","おかみね,岡峰","しょう,章","なかだて,中楯","むねしげ,宗重","ありじ,有路","うけち,請地","おだい,小代","かものした,鴨下","くめたに,久米谷","さお,竿","しもやなぎた,下柳田","たかぼり,高堀","つねひろ,常広","ながむた,永牟田","はまうえ,浜上","べっぷ,別部","みつや,三廼","やまや,山矢"
"おかべ,岡部","しのずか,篠塚","やぎさわ,八木沢","かみや,紙谷","きしべ,岸部","あきさと,秋里","うかじ,宇梶","みやぎし,宮岸","さだもと,定本","むねゆき,宗雪","おかみや,岡宮","しょうがき,正垣","なかつか,中司","むねた,棟田","ありす,有栖","うけな,浮穴","おだい,小田井","かもり,香森","くめだ,粂田","さお,佐尾","しもやま,志茂山","たかまがり,高曲","つねふじ,恒藤","ながむね,永宗","はまうら,浜浦","べあん,平安","みつや,満屋","やまりょう,山良"
"せきぐち,関口","しばた,芝田","やまや,山谷","かめかわ,亀川","きしべ,岸辺","あきしの,秋篠","うがい,鵜飼","みやくに,宮国","さと,里","むらこそ,村社","おかもと,丘本","しょうげんじ,生源寺","なかつち,中土","むねとう,宗任","ありす,有巣","うけば,筌場","おだいら,尾平","かもんぜき,掃部関","くめはら,久米原","さおしろ,竿代","しもわだ,下和田","たかまさ,賞雅","つねふじ,常藤","ながむね,長棟","はまき,葉巻","べいか,米花","みつやす,光易","やまわ,山和"
"たじま,田島","しまの,島野","よしとみ,吉富","かめたに,亀谷","きじま,貴島","あくつ,安久津","うがき,宇垣","みやじ,宮司","さとかわ,里川","むらしげ,村重","おかや,岡屋","しょうじ,将司","なかつみ,中津海","むら,武良","ありすがわ,有栖川","うごう,宇郷","おだうち,小田内","かや,加屋","くも,雲","さおだ,竿田","しもん,子門","たかます,高増","つねもと,経本","ながもち,永持","はまぎし,浜岸","べいざん,米山","みつやま,みつ山","やまわけ,山分"
"こが,古賀","たかしま,高嶋","りゅう,竜","かもがわ,鴨川","きたぞの,北園","あさお,浅生","うがわ,宇川","みやじ,宮路","さとの,里野","むらせ,村勢","おが,尾賀","しょうじ,昌子","なかつやま,中津山","むらい,村居","ありすみ,有隅","うごもり,鵜籠","おだか,小鷹","かや,嘉陽","くもい,雲居","さおみ,棹見","しやけ,初宿","たかみ,高味","つねもと,恒元","ながもち,長持","はまさと,浜里","べかえーる,ベカエール","みつゆ,美露","やまんた,矢満田"
"なかざわ,中沢","たかや,高谷","あさひ,旭","かもした,鴨下","きなみ,木南","あさか,浅賀","うきや,浮谷","みやぞの,宮園","さとやま,里山","むらた,邑田","おがえり,魚返","しょうじ,正治","なかてがわ,仲手川","むらかみ,邑上","ありずか,在塚","うさ,兎茶","おだき,小滝","かや,栢","くもじま,雲島","さおやま,佐保山","しやはら,四夜原","たかみ,田上","つねもと,津根元","ながもと,永元","はました,浜下","べつえき,別役","みと,見戸","やまんだ,矢満田"
"しらい,白井","たけべ,武部","あぼ,安保","かるべ,軽部","きば,木場","あさこ,浅子","うきよてい,浮世亭","みやつ,宮津","さとよし,里吉","むらつばき,村椿","おがしわ,小柏","しょうじま,庄島","なかどう,中堂","むらくに,村国","ありずか,有塚","うさき,宇佐木","おだくら,小田倉","かや,萱","くもじま,雲嶋","さおり,小織","しよみ,塩見","たかみすぎ,隆三杉","つねもり,常守","ながもと,永本","はまじ,浜地","べつかわ,別川","みと,御津","やむろ,矢袋"
"なかはら,中原","たまる,田丸","あらや,新谷","かわたに,川谷","きやす,喜安","あさずま,朝妻","うしはら,牛原","みやはた,宮畑","さどやま,佐渡山","むらぬし,村主","おがの,小鹿野","しょうつ,正津","なかね,仲根","むらさと,村里","ありたき,有滝","うさき,宇咲","おだざわ,織田沢","かや,彼谷","くもせ,雲瀬","さかあき,阪秋","しらうめ,白梅","たかみどう,高御堂","つねやま,常山","ながもと,長基","はまじ,浜路","べつき,別技","みと,三津","やめ,矢目"
"ほりうち,堀内","とざわ,戸沢","ありさか,有坂","かんの,管野","きよかわ,清河","あさわ,浅輪","うしろだ,後田","みややま,宮山","さない,佐内","むろずみ,室積","おがはら,小河原","しょうてい,松亭","なかの,中濃","むらさめ,村雨","ありつぼ,有坪","うさき,宇紗木","おだしま,小田嶋","かやおか,萱岡","くもで,雲出","さかい,さかい","しらおがわ,白男川","たかみどり,高緑","つねゆき,常行","ながもと,長元","はまじょう,浜条","べつた,別田","みといずみ,水戸泉","やもと,屋本"
"まつした,松下","なか,仲","あわず,粟津","かんばら,蒲原","きよしま,清島","あしば,足羽","うすい,臼居","みよし,三芳","さぬか,佐怒賀","むろの,室野","おがみの,小神野","しょうどしま,小豆島","なかの,中農","むらじ,村治","ありとう,有東","うさの,宇佐野","おだて,尾立","かやき,栢木","くもと,九本","さかい,界","しらかた,白潟","たかみね,貴峰","つねよし,常吉","ながもと,長本","はます,浜須","べつみや,別宮","みとう,見当","やもと,箭本"
"さかた,坂田","なわ,名和","いけぐち,池口","きくもと,菊本","きよたき,清滝","あじさか,鯵坂","うず,宇津","みよし,三由","さねとう,実藤","むろぶせ,室伏","おがも,小鴨","しょうの,正野","なかのせ,中ノ瀬","むらずみ,村角","ありとめ,有留","うさみ,宇沙美","おだに,尾谷","かやざわ,萱沢","くもむら,雲村","さかい,限井","しらかた,白形","たかみね,嵩峰","つねよだ,常世田","ながや,長矢","はまずか,浜塚","べな,部奈","みとう,見藤","やもまと,山本"
"しらいし,白石","のせ,能勢","いけや,池谷","きずか,木塚","きりしま,霧島","あすけ,足助","うずか,宇塚","みわた,三輪田","さのかわ,佐野川","めぐみ,恵","おきい,沖井","しょうの,荘野","なかのわたり,中野渡","むらた,邨田","ありぬま,有沼","うさわ,鵜沢","おだね,小田根","かやしま,萱嶋","くもり,久守","さかい,左海","しらかた,白片","たかみね,鷹峰","つねわき,常脇","ながやす,ながやす","はまずみ,浜住","べにさわ,紅沢","みとう,御藤","ややなぎ,矢柳"
"てらだ,寺田","はんざわ,半沢","いでみつ,出光","きどころ,城所","きりたけ,桐竹","あぜち,畦地","うたざわ,歌沢","むかい,迎","さみぞ,三溝","もじ,門司","おきしお,沖塩","しょうばやし,庄林","なかば,中場","むらたけ,村武","ありのぶ,有信","うしゅく,宇宿","おだはら,小田原","かやじま,萱島","くもん,九紋","さかいがわ,境川","しらかば,白樺","たかみやき,高宮城","つの,角野","ながやす,永保","はませ,浜瀬","べにたに,紅谷","みとう,美藤","ややま,屋山"
"みよし,三好","ひび,日比","いまぜき,今関","きぬがわ,衣川","きんだいち,金田一","あそ,阿曽","うちい,内井","むさし,武蔵","さもと,佐本","もずめ,物集","おきしま,沖島","しょうばやし,正林","なかばやし,仲林","むらつ,村津","ありのべ,有延","うしえ,牛江","おだわら,緒田原","かやぬま,茅沼","くら,鞍","さかいざわ,境沢","しらかみ,白神","たかみやま,高見山","つの,築野","ながやぶ,永薮","はまぞえ,浜添","べにのや,紅の屋","みとおか,水戸岡","やらい,矢来"
"なりた,成田","ふじまき,藤巻","うえしま,上島","きのした,樹下","ぎま,儀間","あだち,阿達","うちお,内尾","むしゃのこうじ,武者小路","さもり,佐守","もたに,藻谷","おきじ,興地","しょうばら,荘原","なかほ,中保","むらなが,村永","ありば,有葉","うしおぎ,潮木","おちこち,遠近","かやね,榧根","くら,久良","さかいたに,堺谷","しらがし,白樫","たかむき,高向","つのかい,角皆","ながやま,修山","はまたけ,浜高家","べにやま,紅山","みとべ,三戸部","やり,野利"
"よしの,吉野","ふじやま,藤山","うめばやし,梅林","きべ,木部","くぎみや,釘宮","あだちはら,足立原","うちがさき,内ケ崎","むねちか,宗近","さやなぎ,佐柳","もちき,持木","おきた,置田","しょうぶ,菖蒲","なかほど,仲程","むらはら,村原","ありばやし,有林","うしおばら,潮原","おちだ,落田","かやの,芽野","くら,九羅","さかいち,坂市","しらき,新良貴","たかむね,高宗","つのかえ,角替","ながよ,永代","はまだて,浜館","べふ,別府","みとめ,三留","やりた,遣田"
"あさい,浅井","ほんじょう,本庄","えのき,榎","きりしま,桐島","くごう,久郷","あつみ,熱海","うちこし,打越","むねまさ,宗政","さよう,佐用","もといけ,本池","おきなが,沖長","しょうむら,正村","なかぼり,中堀","むらや,村谷","ありひさ,有久","うしおみ,潮見","おちみず,落水","かやの,栢野","くらい,鞍井","さかいや,境屋","しらき,白季","たかむら,鷹村","つのかわ,角川","ながよし,長吉","はまちよ,浜千代","べるく,ベルク","みとも,御友","やりつ,耶律"
"かない,金井","まるお,丸尾","おおたけ,大岳","くげ,久下","くさち,草地","あなぶき,穴吹","うちで,内出","むらい,邑井","さら,沙羅","もとお,本尾","おきのぶ,沖信","しょうりん,松林","なかま,中摩","むれ,群","ありひろ,有広","うしき,宇式","おちる,落流","かやの,榧野","くらい,蔵居","さかいや,堺屋","しらき,白城","たかもく,高杢","つのがい,角皆","ながら,長良","はまで,浜出","べるとらめり,ベルトラメリ","みともり,三戸森","やわた,矢幡"
"わかばやし,若林","あさひ,朝日","おおつじ,大辻","くしだ,串田","くすみ,久住","あなみず,穴水","うちはし,内橋","むらがき,村垣","さるき,猿木","もとかわ,元川","おきまつ,興松","しい,志位","なかま,仲間","むろお,室生","ありふじ,在藤","うしき,丑木","おつかい,追貝","かやのみや,賀陽宮","くらいん,クライン","さかいやま,境山","しらさ,白佐","たかもり,高守","つのがい,角替","ながら,名柄","はまなが,浜永","べんてんまる,弁天丸","みとや,水戸谷","やわた,矢和田"
"おおいし,大石","いしくら,石倉","おがた,小方","くじらおか,鯨岡","くずや,葛谷","あにや,安仁屋","うちもと,内本","むらくも,村雲","さるわか,猿若","もとじま,元島","おぎうえ,荻上","しいかわ,椎川","なかま,仲摩","むろき,室木","ありま,ありま","うしくさ,牛草","おつど,乙戸","かやはな,茅花","くらえ,倉江","さかいり,酒入","しらさぎ,白鷺","たかもれ,高毛礼","つのき,角木","ながれ,永礼","はまはし,浜橋","ぺい,裴","みとろ,美土路","やわたや,八幡屋"
"こだま,児玉","いのまた,猪股","おぬき,小貫","くすのき,楠木","くつざわ,沓沢","あの,阿野","うつの,宇都野","むれ,牟礼","さわうち,沢内","もとだて,本館","おぎうち,扇内","しいがい,椎貝","なかまた,仲俣","むろほし,室星","ありま,安利麻","うしごえ,牛越","おつはた,乙幡","かやはら,栢原","くらおか,倉丘","さかえ,寒河江","しらさご,白砂","たかや,たかや","つのせ,津野瀬","ながわ,菜川","はまはた,浜端","ほぁ,華","みどおか,御堂岡","やんそん,ヤンソン"
"いずみ,泉","いわなみ,岩波","おのうえ,尾上","くすみ,楠美","くに,邦","あべい,安部井","うと,宇都","むろう,室生","さわち,沢地","もとなが,元永","おぎくぼ,荻久保","しいずか,椎塚","なかみや,中宮","むろや,室矢","ありま,在間","うしざか,牛坂","おつばた,乙幡","かやぶき,萱葺","くらかけ,鞍掛","さかえ,昌","しらざわ,白沢","たかや,高宅","つのち,津之地","ながわ,長川","はまばやし,浜林","ほっく,堀口","みどり,三十利","ゆー,柳"
"あだち,足立","おおした,大下","おまた,小俣","くすやま,楠山","くにきだ,国木田","あぼし,網干","うと,宇土","むろずみ,室住","さわにし,沢西","もとはま,元浜","おぎす,荻洲","しおうら,塩浦","なかやま,名嘉山","めいしょ,名所","ありま,有間","うしざき,牛崎","おつぼ,尾坪","かやべ,茅部","くらかけ,鞍懸","さかえぎ,栄木","しらしょうじ,白庄司","たかよし,高吉","つのみや,角宮","ながわ,奈川","はまべ,浜部","ほった,ほった","みどり,翠","ゆあさ,ユアサ"
"えぐち,江口","おきた,沖田","おもて,表","くちき,朽木","くにさき,国崎","あまき,天木","うとう,宇藤","むろつ,室津","さわまつ,沢松","もとや,本谷","おぎもと,荻本","しおえ,潮江","なが,長","めかだ,目加田","ありまさ,蟻正","うしずか,牛塚","おでいし,小出石","かやべ,茅辺","くらかけ,蔵掛","さかえだ,酒枝","しらしま,白島","たかよせ,高寄","つのもり,津森","ながわ,南川","はまみ,浜見","ほった,法田","みどりかわ,縁川","ゆあさ,湯朝"
"おおやま,大山","かが,加賀","かげやま,蔭山","くましろ,熊代","くにし,国司","あまこ,天児","うない,宇内","むろはら,室原","さわや,沢谷","ももき,百木","おぎや,荻谷","しおざき,汐崎","ながいわ,永岩","めがた,目賀田","ありみつ,有満","うした,牛田","おと,桜桃","かやま,萱間","くらかた,倉片","さかえはら,栄原","しらすか,白須賀","たからい,宝居","つのり,津乗","なきり,菜切","はまもり,浜守","ほっち,発知","みどりしま,緑島","ゆい,結"
"どい,土井","かたの,片野","かざみ,風見","くもい,雲井","くにひろ,国弘","あまこ,尼子","うぬま,鵜沼","めが,妻鹿","さんとう,三東","もものい,桃井","おくざと,奥里","しおずき,塩月","ながえ,永栄","めぐり,巡","ありみね,有峰","うしだて,牛建","おと,尾登","かやま,鹿山","くらかた,蔵方","さかお,阪尾","しらすず,白鈴","たからがわ,宝川","つは,津覇","なきり,百鬼","はまもり,浜森","ほー,許","みどりま,緑間","ゆいかわ,結川"
"おがさわら,小笠原","かわまた,川又","かしま,加島","くらしな,倉科","くぼうち,窪内","あまだ,雨田","うのさわ,宇野沢","もうない,毛内","さんべ,三瓶","ももはら,桃原","おくぞの,奥園","しおち,潮地","ながお,永雄","めさき,目崎","ありむら,ありむら","うしどめ,牛留","おとい,音井","かよう,賀陽","くらかね,倉兼","さかおか,坂丘","しらち,白地","たからこ,宝子","つばきお,椿尾","なぎ,奈伎","はまや,浜家","ほいずみ,保泉","みない,御薬袋","ゆいかわ,唯川"
